Region,Month,Year,Rate
Citywide,March,2016,3.4
Citywide,April,2016,3.4
Citywide,May,2016,3.4
Citywide,June,2016,3.4
Citywide,July,2016,3.2
Citywide,August,2016,3.3
Citywide,September,2016,3.3
Citywide,October,2016,3.4
Citywide,November,2016,3.3
Citywide,December,2016,3.2
Citywide,January,2017,3.2
Citywide,February,2017,3.2
Citywide,March,2017,3.2
Citywide,April,2017,3.1
Citywide,May,2017,3.1
Citywide,June,2017,3.1
Citywide,July,2017,2.9
Citywide,August,2017,3
Citywide,September,2017,2.9
Citywide,October,2017,3
Citywide,November,2017,2.9
Citywide,December,2017,2.8
Citywide,January,2018,2.8
Citywide,February,2018,2.8
Citywide,March,2018,2.8
Citywide,April,2018,2.8
Citywide,May,2018,2.7
Citywide,June,2018,2.7
Citywide,July,2018,2.7
Citywide,August,2018,2.7
Citywide,September,2018,2.5
Citywide,October,2018,2.5
Citywide,November,2018,2.4
Citywide,December,2018,2.4
Citywide,January,2019,2.4
Citywide,February,2019,2.4
Citywide,March,2019,2.4
Citywide,April,2019,2.4
Citywide,May,2019,2.4
Citywide,June,2019,2.4
Citywide,July,2019,2.7
Citywide,August,2019,2.6
Citywide,September,2019,2.4
Citywide,October,2019,2.4
Citywide,November,2019,2.4
Citywide,December,2019,2.3
Citywide,January,2020,2.3
Citywide,February,2020,2.3
Citywide,March,2020,2.2
Citywide,April,2020,2.1
